id,Покупательская активность,Тип сервиса,Разрешить сообщать,Маркет_актив_6_мес,Маркет_актив_тек_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Неоплаченные_продукты_штук_квартал,Ошибка_сервиса,Страниц_за_визит
215651,Снизилась,стандарт,нет,2.4,3,715,0.4,Кухонная посуда,3,5,5,5
215652,Снизилась,стандарт,да,5.6,3,805,0.99,Домашний текстиль,2,1,3,4
215653,Снизилась,стандарт,нет,5.6,5,181,0.31,Мелкая бытовая техника и электроника,1,5,3,4
215654,Снизилась,премиум,нет,1.4,4,684,0.94,Товары для детей,3,6,1,6
215655,Снизилась,стандарт,да,3.9,4,819,0.94,Товары для детей,1,9,4,2
215656,Снизилась,стандарт,да,3.8,5,217,0.39,Косметика и аксесуары,2,2,5,4
215657,Снизилась,премиум,да,5.6,5,736,0.32,Косметика и аксесуары,2,4,5,4
215658,Снизилась,стандарт,нет,5.6,5,163,0.36,Товары для детей,1,3,3,2
215659,Снизилась,стандарт,нет,1.4,3,822,0.36,Товары для детей,2,5,7,6
215660,Снизилась,стандарт,да,4.0,5,618,0.39,Товары для детей,2,4,5,2
215661,Снизилась,стандарт,да,3.5,3,1012,0.4,Техника для красоты и здоровья,4,5,3,5
215662,Снизилась,стандарт,да,2.9,3,441,0.39,Товары для детей,2,0,1,7
215663,Снизилась,стандарт,да,2.6,4,302,0.28,Товары для детей,1,2,5,4
215664,Снизилась,премиум,да,3.4,4,822,0.21,Кухонная посуда,3,4,2,3
215665,Снизилась,стандарт,нет,3.8,3,732,0.25,Домашний текстиль,3,5,2,3
215666,Снизилась,стандарт,да,3.5,5,703,0.22,Товары для детей,2,2,8,2
215667,Снизилась,премиум,да,3.0,4,467,0.95,Косметика и аксесуары,2,6,7,3
215668,Снизилась,премиум,да,4.4,4,343,0.94,Товары для детей,2,9,2,2
215669,Снизилась,стандарт,да,4.1,3,551,0.94,Товары для детей,2,3,3,5
215670,Снизилась,стандарт,да,4.1,4,490,0.98,Кухонная посуда,3,7,3,2
215671,Снизилась,премиум,да,4.0,4,820,0.22,Косметика и аксесуары,1,4,8,6
215672,Снизилась,стандарт,да,4.4,5,261,0.31,Кухонная посуда,1,6,1,2
215673,Снизилась,стандарт,нет,2.4,5,340,0.4,Домашний текстиль,1,5,1,3
215674,Снизилась,стандарт,да,3.0,4,304,0.25,Домашний текстиль,1,6,5,3
215675,Снизилась,стандарт,да,5.5,5,726,0.16,Товары для детей,4,5,7,5
215676,Снизилась,стандарт,да,4.2,3,280,0.17,Домашний текстиль,1,2,3,14
215677,Снизилась,премиум,да,4.6,4,993,0.24,Домашний текстиль,2,3,9,11
215678,Снизилась,стандарт,да,5.2,4,205,0.11,Техника для красоты и здоровья,2,3,2,5
215679,Снизилась,стандарт,нет,5.5,3,712,0.95,Домашний текстиль,2,0,6,11
215680,Снизилась,премиум,да,4.4,4,844,0.3,Товары для детей,1,5,3,15
215681,Снизилась,стандарт,нет,4.8,3,788,0.21,Товары для детей,2,3,7,16
215682,Снизилась,премиум,да,5.8,3,724,0.17,Косметика и аксесуары,1,1,3,6
215683,Снизилась,премиум,да,4.4,4,190,0.13,Домашний текстиль,1,4,2,10
215684,Снизилась,стандарт,да,3.6,4,785,0.3,Товары для детей,2,1,3,11
215685,Снизилась,стандарт,нет,4.4,5,517,0.23,Товары для детей,1,2,5,11
215686,Снизилась,стандарт,нет,4.3,4,460,0.16,Техника для красоты и здоровья,2,1,3,6
215687,Снизилась,стандарт,да,3.9,4,627,0.24,Товары для детей,3,3,7,8
215688,Снизилась,стандарт,да,5.5,4,703,0.14,Мелкая бытовая техника и электроника,2,1,3,7
215689,Снизилась,стандарт,нет,5.0,4,136,0.27,Товары для детей,3,4,4,17
215690,Снизилась,стандарт,да,4.8,4,907,0.3,Косметика и аксесуары,2,1,1,6
215691,Снизилась,стандарт,нет,3.9,5,600,0.17,Домашний текстиль,1,7,4,10
215692,Снизилась,стандарт,да,3.3,3,871,0.2,Техника для красоты и здоровья,2,4,2,17
215693,Снизилась,стандарт,да,5.6,5,574,0.28,Домашний текстиль,3,2,3,9
215694,Снизилась,премиум,да,5.5,5,982,0.94,Мелкая бытовая техника и электроника,3,1,8,10
215695,Снизилась,стандарт,да,4.3,4,324,0.14,Техника для красоты и здоровья,2,7,4,4
215696,Снизилась,премиум,да,3.4,3,384,0.98,Кухонная посуда,1,9,4,3
215697,Снизилась,премиум,да,3.9,4,935,0.39,Техника для красоты и здоровья,3,2,6,4
215698,Снизилась,стандарт,да,3.5,4,685,0.89,Техника для красоты и здоровья,2,9,3,3
215699,Снизилась,стандарт,нет,4.1,3,811,0.93,Косметика и аксесуары,4,1,5,8
215700,Снизилась,премиум,да,3.1,4,681,0.27,Косметика и аксесуары,1,5,6,7
215701,Снизилась,стандарт,да,0.9,4,212,0.95,Домашний текстиль,2,5,4,2
215702,Снизилась,стандарт,нет,1.7,4,188,0.89,Товары для детей,2,0,4,2
215703,Снизилась,стандарт,нет,2.4,5,711,0.22,Косметика и аксесуары,2,6,2,6
215704,Снизилась,стандарт,да,2.4,5,485,0.28,Товары для детей,3,0,3,2
215705,Снизилась,премиум,нет,0.9,4,657,0.99,Домашний текстиль,2,4,2,5
215706,Снизилась,стандарт,да,3.5,5,730,0.94,Товары для детей,2,3,7,6
215707,Снизилась,премиум,да,3.4,5,484,0.21,Косметика и аксесуары,2,4,3,8
215708,Снизилась,премиум,да,3.9,3,570,0.4,Кухонная посуда,3,8,2,3
215709,Снизилась,стандарт,нет,4.6,5,352,0.89,Домашний текстиль,1,3,2,6
215710,Снизилась,премиум,да,3.5,3,658,0.98,Товары для детей,3,0,2,5
215711,Снизилась,премиум,да,2.4,5,1065,0.3,Косметика и аксесуары,3,5,1,4
215712,Снизилась,премиум,да,3.5,4,794,0.93,Кухонная посуда,3,7,8,6
215713,Снизилась,стандарт,да,4.6,5,293,0.24,Товары для детей,1,3,3,3
215714,Снизилась,стандарт,да,3.8,5,694,0.4,Кухонная посуда,3,7,4,6
215715,Снизилась,премиум,да,3.6,5,873,0.39,Товары для детей,3,2,2,5
215716,Снизилась,стандарт,да,2.4,4,952,0.3,Техника для красоты и здоровья,3,5,2,3
215717,Снизилась,стандарт,да,4.8,4,507,0.98,Косметика и аксесуары,2,0,4,3
215718,Снизилась,стандарт,нет,3.1,5,447,0.25,Домашний текстиль,2,4,6,4
215719,Снизилась,премиум,да,2.4,5,460,0.22,Косметика и аксесуары,1,6,8,4
215720,Снизилась,премиум,да,3.9,4,449,0.4,Косметика и аксесуары,3,1,1,5
215721,Снизилась,стандарт,да,3.9,4,906,0.33,Товары для детей,3,1,3,1
215722,Снизилась,премиум,да,3.9,3,646,0.39,Косметика и аксесуары,3,1,6,7
215723,Снизилась,премиум,да,3.8,4,444,0.94,Кухонная посуда,2,4,3,2
215724,Снизилась,стандарт,нет,2.4,3,731,0.22,Домашний текстиль,3,3,3,4
215725,Снизилась,стандарт,да,2.4,5,846,0.4,Товары для детей,2,4,4,5
215726,Снизилась,стандарт,да,5.6,5,402,0.22,Мелкая бытовая техника и электроника,2,4,4,5
215727,Снизилась,стандарт,да,4.4,4,598,0.39,Косметика и аксесуары,2,3,5,5
215728,Снизилась,стандарт,нет,4.0,3,780,0.3,Косметика и аксесуары,4,0,2,6
215729,Снизилась,стандарт,да,3.9,4,791,0.93,Кухонная посуда,4,0,2,5
215730,Снизилась,стандарт,да,3.1,4,196,0.4,Мелкая бытовая техника и электроника,1,4,3,5
215731,Снизилась,стандарт,да,3.5,4,800,0.22,Домашний текстиль,4,5,2,4
215732,Снизилась,стандарт,нет,3.5,4,663,0.98,Косметика и аксесуары,3,6,4,3
215733,Снизилась,стандарт,нет,4.0,4,482,0.24,Косметика и аксесуары,2,8,1,5
215734,Снизилась,премиум,да,3.8,4,1051,0.22,Косметика и аксесуары,2,4,3,7
215735,Снизилась,премиум,нет,4.6,4,511,0.99,Косметика и аксесуары,2,2,5,4
215736,Снизилась,премиум,да,5.6,3,540,0.36,Косметика и аксесуары,2,4,2,8
215737,Снизилась,стандарт,да,0.9,4,225,0.36,Косметика и аксесуары,2,4,2,3
215738,Снизилась,премиум,нет,4.6,5,187,0.23,Мелкая бытовая техника и электроника,1,3,3,2
215739,Снизилась,стандарт,нет,3.4,4,875,0.25,Мелкая бытовая техника и электроника,2,3,1,3
215740,Снизилась,премиум,нет,3.5,4,769,0.3,Домашний текстиль,3,3,6,7
215741,Снизилась,стандарт,да,4.8,4,563,0.94,Товары для детей,1,5,7,4
215742,Снизилась,стандарт,да,4.6,4,373,0.25,Мелкая бытовая техника и электроника,2,2,2,5
215743,Снизилась,премиум,да,4.1,4,375,0.32,Косметика и аксесуары,1,6,3,3
215744,Снизилась,стандарт,да,1.7,5,439,0.31,Кухонная посуда,1,5,2,1
215745,Снизилась,стандарт,да,1.7,4,550,0.94,Мелкая бытовая техника и электроника,4,1,3,6
215746,Снизилась,премиум,да,4.4,4,987,0.35,Техника для красоты и здоровья,3,1,8,6
215747,Снизилась,стандарт,да,3.5,5,452,0.93,Товары для детей,1,5,5,4
215748,Прежний уровень,стандартт,нет,4.3,4,534,0.18,Кухонная посуда,3,1,4,10
215749,Прежний уровень,премиум,да,5.8,5,624,0.3,Техника для красоты и здоровья,4,3,6,14
215750,Прежний уровень,стандарт,да,4.8,5,634,0.21,Товары для детей,4,5,3,10
215751,Прежний уровень,стандарт,да,4.1,4,957,0.17,Техника для красоты и здоровья,5,2,6,9
215752,Прежний уровень,стандарт,нет,4.0,4,475,0.3,Мелкая бытовая техника и электроника,3,3,7,7
215753,Прежний уровень,премиум,да,5.5,5,191,0.17,Косметика и аксесуары,6,0,4,8
215754,Прежний уровень,премиум,да,4.6,3,937,0.14,Домашний текстиль,5,2,4,14
215755,Прежний уровень,стандарт,да,4.4,4,216,0.18,Техника для красоты и здоровья,2,3,5,13
215756,Прежний уровень,стандарт,нет,5.4,4,923,0.15,Кухонная посуда,2,1,6,10
215757,Прежний уровень,стандарт,да,4.9,4,998,0.4,Товары для детей,3,0,2,8
215758,Прежний уровень,премиум,да,5.7,5,486,0.15,Мелкая бытовая техника и электроника,4,4,4,9
215759,Прежний уровень,премиум,да,3.6,5,589,0.21,Кухонная посуда,3,1,4,6
215760,Прежний уровень,премиум,да,3.3,3,949,0.24,Техника для красоты и здоровья,3,2,4,6
215761,Прежний уровень,стандарт,нет,5.7,4,565,0.14,Домашний текстиль,5,1,4,12
215762,Прежний уровень,стандарт,да,5.3,5,822,0.28,Товары для детей,4,3,2,11
215763,Прежний уровень,стандарт,нет,3.7,3,300,0.23,Мелкая бытовая техника и электроника,3,3,4,4
215764,Прежний уровень,стандарт,да,4.0,4,539,0.11,Косметика и аксесуары,2,2,5,7
215765,Прежний уровень,стандарт,нет,3.9,4,388,0.6,Косметика и аксесуары,4,0,4,8
215766,Прежний уровень,стандарт,да,4.3,4,857,0.14,Кухонная посуда,2,1,6,4
215767,Прежний уровень,премиум,да,4.1,4,316,0.12,Товары для детей,2,3,4,6
215768,Прежний уровень,стандарт,да,4.7,5,744,0.28,Техника для красоты и здоровья,4,0,5,9
215769,Прежний уровень,стандарт,нет,3.6,3,553,0.23,Домашний текстиль,5,3,3,10
215770,Прежний уровень,стандарт,да,5.4,5,749,0.14,Товары для детей,5,2,4,9
215771,Прежний уровень,стандарт,да,5.6,4,272,0.17,Косметика и аксесуары,4,3,4,6
215772,Прежний уровень,стандарт,да,4.6,4,321,0.23,Товары для детей,4,2,4,12
215773,Прежний уровень,стандарт,да,5.1,5,831,0.12,Косметика и аксесуары,2,1,3,10
215774,Прежний уровень,стандарт,да,5.4,3,657,0.11,Техника для красоты и здоровья,2,4,2,9
215775,Прежний уровень,стандарт,нет,5.0,4,157,0.15,Мелкая бытовая техника и электроника,5,0,5,13
215776,Прежний уровень,стандарт,нет,4.4,4,467,0.15,Техника для красоты и здоровья,2,2,2,10
215777,Прежний уровень,премиум,да,4.4,4,849,0.28,Товары для детей,6,2,3,13
215778,Прежний уровень,стандарт,да,4.3,4,609,0.24,Товары для детей,4,3,5,15
215779,Прежний уровень,премиум,да,4.3,3,242,0.16,Техника для красоты и здоровья,4,5,2,11
215780,Прежний уровень,премиум,да,4.1,3,728,0.28,Косметика и аксесуары,4,1,2,5
215781,Прежний уровень,премиум,да,4.4,5,937,0.17,Кухонная посуда,5,1,8,6
215782,Прежний уровень,стандарт,да,5.2,3,457,0.17,Товары для детей,4,1,5,5
215783,Прежний уровень,стандарт,нет,5.5,3,159,0.25,Домашний текстиль,5,3,3,12
215784,Прежний уровень,стандарт,да,3.4,4,207,0.3,Домашний текстиль,6,5,4,14
215785,Прежний уровень,премиум,да,4.9,4,899,0.24,Домашний текстиль,4,4,2,17
215786,Прежний уровень,премиум,да,3.4,4,834,0.13,Техника для красоты и здоровья,3,1,3,7
215787,Прежний уровень,стандарт,да,5.3,4,808,0.23,Косметика и аксесуары,3,0,5,7
215788,Прежний уровень,стандарт,да,3.3,4,205,0.13,Домашний текстиль,3,2,4,7
215789,Прежний уровень,премиум,да,3.6,3,985,0.26,Мелкая бытовая техника и электроника,5,2,8,5
215790,Прежний уровень,премиум,да,4.9,3,400,0.13,Мелкая бытовая техника и электроника,2,4,4,12
215791,Прежний уровень,премиум,да,5.5,5,634,0.14,Домашний текстиль,3,5,3,11
215792,Прежний уровень,стандарт,да,4.1,4,529,0.14,Товары для детей,4,5,7,13
215793,Прежний уровень,премиум,да,4.3,4,855,0.16,Домашний текстиль,5,4,2,7
215794,Прежний уровень,премиум,да,5.5,4,597,0.15,Косметика и аксесуары,3,4,3,8
215795,Прежний уровень,премиум,да,3.9,3,1061,0.16,Мелкая бытовая техника и электроника,3,1,8,8
215796,Снизилась,стандарт,нет,6.3,4,527,0.21,Домашний текстиль,5,2,5,10
215797,Снизилась,стандарт,нет,4.9,3,414,0.94,Домашний текстиль,6,1,4,7
215798,Снизилась,стандарт,да,4.3,5,623,0.24,Мелкая бытовая техника и электроника,2,2,8,12
215799,Снизилась,премиум,да,4.3,5,1022,0.28,Техника для красоты и здоровья,4,1,4,9
215800,Снизилась,стандарт,да,4.4,4,978,0.28,Кухонная посуда,2,0,3,5
215801,Снизилась,стандарт,да,4.0,5,479,0.94,Кухонная посуда,4,4,4,14
215802,Снизилась,стандарт,да,3.4,4,698,0.16,Кухонная посуда,4,3,4,11
215803,Снизилась,стандарт,да,3.8,4,670,0.28,Товары для детей,4,4,7,9
215804,Снизилась,стандарт,да,3.3,5,673,0.99,Товары для детей,3,2,1,7
215805,Снизилась,стандарт,нет,4.1,4,808,0.15,Мелкая бытовая техника и электроника,4,2,3,13
215806,Снизилась,стандарт,нет,5.8,3,660,0.16,Товары для детей,4,1,3,12
215807,Снизилась,стандарт,да,5.5,5,503,0.2,Домашний текстиль,5,5,2,6
215808,Снизилась,стандарт,да,4.0,4,417,0.25,Товары для детей,5,5,5,11
215809,Снизилась,премиум,да,3.9,3,208,0.24,Косметика и аксесуары,5,2,4,8
215810,Снизилась,стандарт,нет,4.4,4,417,0.23,Товары для детей,3,0,6,10
215811,Снизилась,премиум,да,3.2,5,786,0.25,Косметика и аксесуары,4,0,8,14
215812,Снизилась,стандарт,нет,3.3,3,563,0.12,Домашний текстиль,4,1,5,16
215813,Снизилась,стандарт,да,3.6,5,446,0.17,Домашний текстиль,6,2,4,12
215814,Снизилась,премиум,да,3.6,4,296,0.15,Домашний текстиль,3,5,2,15
215815,Снизилась,стандарт,да,4.9,5,339,0.24,Косметика и аксесуары,3,2,4,12
215816,Снизилась,стандарт,нет,5.7,5,495,0.25,Косметика и аксесуары,4,3,4,3
215817,Снизилась,стандарт,да,3.3,4,320,0.28,Домашний текстиль,5,4,3,13
215818,Снизилась,стандарт,да,4.6,5,121,0.3,Кухонная посуда,4,5,3,11
215819,Снизилась,стандарт,нет,3.2,3,609,0.29,Товары для детей,5,3,2,11
215820,Снизилась,стандарт,да,4.0,4,955,0.95,Товары для детей,4,4,7,11
215821,Снизилась,стандарт,да,4.7,5,508,0.28,Косметика и аксесуары,4,3,5,9
215822,Снизилась,премиум,да,4.4,4,633,0.14,Товары для детей,3,4,2,17
215823,Снизилась,стандарт,нет,5.0,5,234,0.23,Техника для красоты и здоровья,5,1,7,13
215824,Снизилась,стандарт,нет,3.9,5,852,0.21,Косметика и аксесуары,3,0,2,7
215825,Снизилась,премиум,да,4.3,4,951,0.2,Домашний текстиль,3,3,4,10
215826,Снизилась,стандарт,да,4.6,4,177,0.24,Косметика и аксесуары,3,2,7,14
215827,Снизилась,стандарт,да,4.6,3,641,0.3,Косметика и аксесуары,4,1,5,6
215828,Снизилась,стандарт,да,5.3,4,191,0.3,Товары для детей,4,4,3,16
215829,Снизилась,стандарт,да,4.9,4,600,0.13,Товары для детей,4,4,5,7
215830,Снизилась,стандарт,да,5.1,5,185,0.18,Кухонная посуда,4,5,5,14
215831,Снизилась,премиум,да,4.1,3,1030,0.23,Домашний текстиль,4,2,6,4
215832,Снизилась,стандарт,нет,4.1,3,206,0.99,Товары для детей,4,4,3,4
215833,Снизилась,стандарт,да,4.8,4,410,0.17,Домашний текстиль,6,2,7,9
215834,Снизилась,премиум,да,3.8,4,629,0.14,Техника для красоты и здоровья,4,1,7,16
215835,Снизилась,стандарт,да,3.5,3,370,0.25,Товары для детей,2,2,4,9
215836,Снизилась,стандарт,да,4.8,4,823,0.13,Техника для красоты и здоровья,2,4,5,7
215837,Снизилась,премиум,да,4.9,3,888,0.14,Техника для красоты и здоровья,3,1,6,9
215838,Снизилась,стандарт,нет,6.3,4,582,0.14,Косметика и аксесуары,5,1,6,13
215839,Снизилась,премиум,да,2.6,4,1048,0.14,Техника для красоты и здоровья,3,0,2,12
215840,Снизилась,стандарт,да,3.9,5,869,0.24,Кухонная посуда,5,1,4,11
215841,Снизилась,стандарт,да,6.3,4,320,0.12,Мелкая бытовая техника и электроника,5,4,4,10
215842,Снизилась,премиум,да,4.3,3,1036,0.94,Товары для детей,4,2,3,9
215843,Снизилась,стандарт,да,5.5,3,930,0.14,Техника для красоты и здоровья,5,1,6,10
215844,Снизилась,премиум,да,4.3,4,1041,0.99,Кухонная посуда,4,1,6,6
215845,Снизилась,стандарт,да,4.7,4,608,0.95,Техника для красоты и здоровья,5,1,2,10
215846,Прежний уровень,стандарт,нет,5.7,4,169,0.14,Техника для красоты и здоровья,2,1,4,12
215847,Прежний уровень,стандарт,да,4.7,5,966,0.15,Товары для детей,3,1,8,15
215848,Прежний уровень,премиум,да,5.4,5,645,0.28,Мелкая бытовая техника и электроника,3,3,4,10
215849,Прежний уровень,стандарт,да,4.9,4,399,0.25,Товары для детей,4,3,3,5
215850,Прежний уровень,стандарт,да,5.4,4,267,0.15,Техника для красоты и здоровья,5,1,1,7
215851,Прежний уровень,стандарт,да,4.1,4,530,0.26,Домашний текстиль,2,5,4,13
215852,Прежний уровень,стандарт,да,5.8,3,478,0.24,Домашний текстиль,5,5,4,8
215853,Прежний уровень,премиум,да,3.3,4,890,0.11,Косметика и аксесуары,4,1,3,11
215854,Прежний уровень,стандарт,нет,6.6,3,830,0.14,Товары для детей,3,0,6,10
215855,Прежний уровень,стандарт,да,5.5,5,149,0.2,Кухонная посуда,3,2,6,6
215856,Прежний уровень,стандарт,да,4.3,4,543,0.17,Техника для красоты и здоровья,6,3,5,11
215857,Прежний уровень,премиум,да,4.3,4,667,0.28,Мелкая бытовая техника и электроника,3,0,4,13
215858,Прежний уровень,стандарт,да,5.5,4,510,0.15,Мелкая бытовая техника и электроника,2,4,7,16
215859,Прежний уровень,премиум,да,4.4,3,1049,0.14,Товары для детей,3,2,3,11
215860,Прежний уровень,стандарт,да,5.5,5,242,0.21,Кухонная посуда,5,4,4,11
215861,Прежний уровень,стандарт,да,4.5,4,908,0.13,Товары для детей,5,4,5,7
215862,Прежний уровень,стандарт,да,5.8,4,408,0.16,Мелкая бытовая техника и электроника,4,2,3,12
215863,Прежний уровень,стандарт,нет,4.6,4,900,0.16,Мелкая бытовая техника и электроника,5,0,8,8
215864,Прежний уровень,стандарт,да,5.8,4,490,0.16,Мелкая бытовая техника и электроника,2,4,5,16
215865,Прежний уровень,стандарт,нет,4.3,5,401,0.28,Техника для красоты и здоровья,5,0,4,10
215866,Прежний уровень,стандарт,да,3.3,4,945,0.24,Домашний текстиль,3,3,4,13
215867,Прежний уровень,стандарт,да,5.4,4,777,0.25,Техника для красоты и здоровья,2,3,6,14
215868,Прежний уровень,стандарт,да,4.9,5,851,0.11,Косметика и аксесуары,3,0,4,9
215869,Прежний уровень,стандарт,да,5.4,4,559,0.17,Домашний текстиль,5,5,5,12
215870,Прежний уровень,стандарт,да,5.7,4,803,0.25,Домашний текстиль,5,4,6,5
215871,Прежний уровень,премиум,нет,4.8,3,675,0.11,Кухонная посуда,2,1,7,4
215872,Прежний уровень,стандарт,нет,5.1,4,490,0.17,Домашний текстиль,3,4,5,14
215873,Прежний уровень,стандарт,да,4.2,4,769,0.11,Товары для детей,6,1,2,11
215874,Прежний уровень,стандарт,да,4.1,5,626,0.15,Техника для красоты и здоровья,4,2,4,16
215875,Прежний уровень,стандарт,нет,4.7,4,203,0.28,Косметика и аксесуары,3,2,6,10
215876,Прежний уровень,премиум,да,3.8,4,280,0.32,Косметика и аксесуары,3,4,5,12
215877,Прежний уровень,стандарт,да,4.1,4,349,0.17,Мелкая бытовая техника и электроника,6,5,4,9
215878,Прежний уровень,стандарт,да,4.4,5,540,0.25,Товары для детей,3,2,1,12
215879,Прежний уровень,стандарт,нет,5.3,4,476,0.3,Техника для красоты и здоровья,2,0,7,8
215880,Прежний уровень,премиум,да,4.3,5,897,0.3,Мелкая бытовая техника и электроника,4,4,2,11
215881,Прежний уровень,стандарт,да,5.1,3,709,0.3,Товары для детей,5,1,6,9
215882,Прежний уровень,стандарт,да,4.2,4,260,0.17,Мелкая бытовая техника и электроника,3,2,5,13
215883,Прежний уровень,стандарт,да,4.0,4,852,0.13,Товары для детей,3,0,6,7
215884,Прежний уровень,стандарт,да,4.3,5,997,0.17,Мелкая бытовая техника и электроника,5,1,3,11
215885,Прежний уровень,стандарт,да,5.5,4,625,0.16,Косметика и аксесуары,3,3,7,5
215886,Прежний уровень,стандарт,да,4.2,4,187,0.17,Мелкая бытовая техника и электроника,5,3,3,14
215887,Прежний уровень,стандарт,нет,4.6,4,213,0.24,Домашний текстиль,6,3,9,11
215888,Прежний уровень,стандарт,нет,5.2,3,228,0.11,Техника для красоты и здоровья,6,1,2,5
215889,Прежний уровень,премиум,да,5.5,4,602,0.18,Товары для детей,2,3,6,11
215890,Прежний уровень,стандарт,да,4.4,5,870,0.3,Мелкая бытовая техника и электроника,6,2,3,15
215891,Прежний уровень,стандарт,да,4.8,4,795,0.21,Домашний текстиль,4,5,7,16
215892,Прежний уровень,стандарт,да,5.8,4,442,0.17,Мелкая бытовая техника и электроника,3,3,3,6
215893,Прежний уровень,стандарт,нет,4.4,4,639,0.13,Мелкая бытовая техника и электроника,2,4,2,10
215894,Снизилась,стандарт,да,3.6,4,785,0.3,Мелкая бытовая техника и электроника,2,1,3,11
215895,Снизилась,стандарт,нет,4.4,5,517,0.23,Товары для детей,1,2,5,11
215896,Снизилась,стандарт,нет,4.3,4,460,0.16,Техника для красоты и здоровья,2,1,3,6
215897,Снизилась,стандарт,да,3.9,4,627,0.24,Товары для детей,3,3,7,8
215898,Снизилась,стандарт,да,5.5,4,703,0.14,Мелкая бытовая техника и электроника,2,1,3,7
215899,Снизилась,стандарт,нет,5.0,4,136,0.27,Товары для детей,3,4,4,17
215900,Снизилась,стандарт,да,4.8,4,907,0.3,Косметика и аксесуары,2,1,1,6
215901,Снизилась,стандарт,нет,3.9,5,600,0.17,Домашний текстиль,1,7,4,10
215902,Снизилась,стандарт,да,3.3,3,871,0.2,Техника для красоты и здоровья,2,4,2,17
215903,Снизилась,стандарт,да,5.6,5,574,0.28,Домашний текстиль,3,2,3,9
215904,Снизилась,премиум,да,5.5,5,982,0.94,Мелкая бытовая техника и электроника,3,1,8,10
215905,Снизилась,стандарт,да,4.3,4,324,0.14,Техника для красоты и здоровья,2,7,4,4
215906,Снизилась,стандарт,да,5.2,5,373,0.14,Домашний текстиль,1,4,3,8
215907,Снизилась,стандарт,да,6.6,3,839,0.24,Косметика и аксесуары,3,3,4,15
215908,Снизилась,премиум,нет,4.0,4,845,0.12,Домашний текстиль,2,7,6,5
215909,Снизилась,премиум,да,4.9,4,475,0.94,Косметика и аксесуары,2,3,5,10
215910,Снизилась,стандарт,нет,3.9,3,509,0.95,Косметика и аксесуары,2,6,4,5
215911,Снизилась,стандарт,нет,5.4,4,252,0.25,Косметика и аксесуары,3,4,5,11
215912,Снизилась,премиум,да,3.3,3,835,0.26,Товары для детей,4,2,4,9
215913,Снизилась,стандарт,нет,4.0,4,243,0.21,Косметика и аксесуары,2,2,6,13
215914,Снизилась,стандарт,да,3.6,4,641,0.24,Домашний текстиль,4,5,5,15
215915,Снизилась,стандарт,да,4.7,3,684,0.14,Техника для красоты и здоровья,3,4,4,7
215916,Снизилась,премиум,да,4.3,3,881,0.16,Техника для красоты и здоровья,2,2,5,11
215917,Снизилась,стандарт,да,4.0,3,786,0.13,Домашний текстиль,2,2,4,12
215918,Снизилась,стандарт,нет,4.7,4,658,0.13,Домашний текстиль,3,1,5,10
215919,Снизилась,премиум,да,4.3,3,384,0.21,Мелкая бытовая техника и электроника,2,3,2,4
215920,Снизилась,стандарт,нет,5.3,4,585,0.21,Кухонная посуда,2,1,5,12
215921,Снизилась,стандарт,нет,3.6,3,744,0.17,Товары для детей,2,1,4,15
215922,Снизилась,стандарт,да,4.1,5,846,0.15,Косметика и аксесуары,4,3,1,9
215923,Снизилась,премиум,да,3.8,3,724,0.26,Косметика и аксесуары,1,0,4,13
215924,Снизилась,стандарт,нет,3.6,4,826,0.3,Товары для детей,2,0,1,12
215925,Снизилась,стандарт,нет,4.9,4,450,0.27,Мелкая бытовая техника и электроника,2,2,4,13
215926,Снизилась,премиум,да,4.2,5,439,0.25,Товары для детей,2,1,4,5
215927,Снизилась,стандарт,да,5.2,4,801,0.99,Кухонная посуда,2,1,4,9
215928,Снизилась,стандарт,да,5.2,4,586,0.16,Домашний текстиль,2,4,3,18
215929,Снизилась,премиум,да,4.0,4,599,0.15,Товары для детей,2,8,4,7
215930,Снизилась,премиум,да,5.5,5,1025,0.11,Домашний текстиль,1,4,5,12
215931,Снизилась,стандарт,нет,4.9,4,302,0.19,Кухонная посуда,1,5,3,7
215932,Снизилась,стандарт,нет,5.3,4,238,0.28,Товары для детей,1,5,2,4
215933,Снизилась,стандарт,да,4.6,4,316,0.95,Косметика и аксесуары,2,5,6,13
215934,Снизилась,стандарт,нет,5.5,4,147,0.99,Мелкая бытовая техника и электроника,1,2,3,7
215935,Снизилась,стандарт,да,5.3,4,352,0.13,Товары для детей,1,7,3,10
215936,Снизилась,стандарт,да,3.9,3,567,0.24,Техника для красоты и здоровья,2,4,7,7
215937,Снизилась,премиум,да,4.1,5,744,0.16,Косметика и аксесуары,1,2,5,11
215938,Снизилась,стандарт,да,5.2,3,591,0.18,Техника для красоты и здоровья,2,1,4,17
215939,Снизилась,стандарт,да,2.6,3,966,0.21,Товары для детей,3,1,6,9
215940,Снизилась,премиум,да,5.7,5,903,0.99,Косметика и аксесуары,2,8,6,12
215941,Снизилась,стандарт,да,3.3,5,157,0.13,Домашний текстиль,3,6,5,11
215942,Прежний уровень,премиум,да,4.1,4,575,0.25,Техника для красоты и здоровья,5,3,5,13
215943,Прежний уровень,стандарт,нет,3.3,5,129,0.24,Техника для красоты и здоровья,4,1,3,8
215944,Прежний уровень,стандарт,нет,4.1,4,497,0.28,Техника для красоты и здоровья,3,1,5,15
